 initial guess
   0.81000E-10 -0.10000E-01   2000.0    
   750.00     0.26436E+14 0.26436E+14 0.12752E-02
   800.00     0.26722E+14 0.26722E+14 0.82271E-03
   850.00     0.26994E+14 0.26994E+14 0.15463E-02
   900.00     0.27252E+14 0.27252E+14 0.16472E-03
   950.00     0.27499E+14 0.27499E+14 0.13401E-02
   1000.0     0.27735E+14 0.27735E+14 0.10209E-02
   1050.0     0.27961E+14 0.27961E+14 0.58231E-03
   1100.0     0.28179E+14 0.28179E+14 0.72760E-03
   1150.0     0.28388E+14 0.28388E+14 0.11783E-02
   1200.0     0.28590E+14 0.28590E+14 0.14525E-02
   1250.0     0.28786E+14 0.28786E+14 0.13980E-02
   1300.0     0.28974E+14 0.28974E+14 0.13087E-02
   1350.0     0.29157E+14 0.29157E+14 0.70117E-03
   1400.0     0.29335E+14 0.29334E+14 0.18006E-02
   1450.0     0.29507E+14 0.29507E+14 0.15593E-02
   1500.0     0.29674E+14 0.29674E+14 0.90024E-03
   1550.0     0.29836E+14 0.29836E+14 0.11551E-02
   1600.0     0.29995E+14 0.29995E+14 0.11915E-02
   1650.0     0.30149E+14 0.30149E+14 0.42861E-03
   1700.0     0.30299E+14 0.30299E+14 0.83333E-03
   1750.0     0.30446E+14 0.30446E+14 0.24058E-04
   1800.0     0.30589E+14 0.30589E+14 0.91492E-03
   1850.0     0.30729E+14 0.30729E+14 0.93697E-03
   1900.0     0.30866E+14 0.30866E+14 0.57520E-03
   1950.0     0.31000E+14 0.31000E+14 0.31472E-03
   2000.0     0.31131E+14 0.31131E+14 0.59789E-03
   2050.0     0.31260E+14 0.31260E+14 0.13702E-02
   2100.0     0.31385E+14 0.31385E+14 0.11914E-02
   2150.0     0.31509E+14 0.31509E+14 0.93798E-03
   2200.0     0.31630E+14 0.31630E+14 0.10506E-02
   2250.0     0.31748E+14 0.31748E+14 0.11383E-02
   2300.0     0.31865E+14 0.31865E+14 0.38557E-03
   2350.0     0.31979E+14 0.31979E+14 0.94113E-03
   2400.0     0.32092E+14 0.32092E+14 0.89192E-03
   2450.0     0.32202E+14 0.32202E+14 0.59530E-03
   2500.0     0.32311E+14 0.32311E+14 0.59872E-03
 results for iteration           6
 chi  0.82074E-09lamda  0.10000E-08
 params
   0.87697E+13  0.16668     -0.13742E-01
   0.52812E+37  0.16668     -0.27305E-01
   400.00     0.23807E+14 0.23807E+14 0.11174E-03
   450.00     0.24279E+14 0.24279E+14 0.30657E-03
   500.00     0.24709E+14 0.24709E+14 0.68387E-04
   550.00     0.25105E+14 0.25105E+14 0.16619E-02
   600.00     0.25471E+14 0.25471E+14 0.10600E-02
   650.00     0.25813E+14 0.25813E+14 0.12449E-02
   700.00     0.26134E+14 0.26134E+14 0.41482E-03
   750.00     0.26436E+14 0.26436E+14 0.12816E-02
   800.00     0.26722E+14 0.26722E+14 0.82985E-03
   850.00     0.26994E+14 0.26994E+14 0.15387E-02
   900.00     0.27252E+14 0.27252E+14 0.15687E-03
   950.00     0.27499E+14 0.27499E+14 0.13321E-02
   1000.0     0.27735E+14 0.27735E+14 0.10130E-02
   1050.0     0.27961E+14 0.27961E+14 0.58997E-03
   1100.0     0.28179E+14 0.28179E+14 0.72022E-03
   1150.0     0.28388E+14 0.28388E+14 0.11853E-02
   1200.0     0.28590E+14 0.28590E+14 0.14591E-02
   1250.0     0.28786E+14 0.28786E+14 0.13918E-02
   1300.0     0.28974E+14 0.28974E+14 0.13143E-02
   1350.0     0.29157E+14 0.29157E+14 0.70623E-03
   1400.0     0.29335E+14 0.29334E+14 0.17962E-02
   1450.0     0.29507E+14 0.29507E+14 0.15555E-02
   1500.0     0.29674E+14 0.29674E+14 0.89698E-03
   1550.0     0.29836E+14 0.29836E+14 0.11577E-02
   1600.0     0.29995E+14 0.29995E+14 0.11896E-02
   1650.0     0.30149E+14 0.30149E+14 0.42730E-03
   1700.0     0.30299E+14 0.30299E+14 0.83397E-03
   1750.0     0.30446E+14 0.30446E+14 0.24089E-04
   1800.0     0.30589E+14 0.30589E+14 0.91421E-03
   1850.0     0.30729E+14 0.30729E+14 0.93559E-03
   1900.0     0.30866E+14 0.30866E+14 0.57314E-03
   1950.0     0.31000E+14 0.31000E+14 0.31198E-03
   2000.0     0.31131E+14 0.31131E+14 0.59447E-03
   2050.0     0.31260E+14 0.31260E+14 0.13743E-02
   2100.0     0.31385E+14 0.31385E+14 0.11866E-02
   2150.0     0.31509E+14 0.31509E+14 0.94342E-03
   2200.0     0.31630E+14 0.31630E+14 0.10567E-02
   2250.0     0.31748E+14 0.31748E+14 0.11316E-02
   2300.0     0.31865E+14 0.31865E+14 0.39300E-03
   2350.0     0.31979E+14 0.31979E+14 0.93305E-03
   2400.0     0.32092E+14 0.32092E+14 0.90065E-03
   2450.0     0.32202E+14 0.32202E+14 0.58592E-03
   2500.0     0.32311E+14 0.32311E+14 0.60874E-03
 
 results from sum of two modified arrhenius
 chi  0.63294E-06lamda  0.10000E-05
 params
  0.18712E+14 0.18022E-01  133.45     0.33450E+12 0.44380     -248.32    
  0.11265E+38 0.18022E-01  265.16     0.20137E+36 0.44380     -493.40    
   400.00     0.23807E+14 0.23820E+14 0.56533E-01
   450.00     0.24279E+14 0.24270E+14 0.36784E-01
   500.00     0.24709E+14 0.24695E+14 0.58340E-01
   550.00     0.25105E+14 0.25092E+14 0.52670E-01
   600.00     0.25471E+14 0.25463E+14 0.32700E-01
   650.00     0.25813E+14 0.25809E+14 0.13891E-01
   700.00     0.26134E+14 0.26134E+14 0.15943E-02
   750.00     0.26436E+14 0.26440E+14 0.15142E-01
   800.00     0.26722E+14 0.26728E+14 0.23529E-01
   850.00     0.26994E+14 0.27001E+14 0.26453E-01
   900.00     0.27252E+14 0.27260E+14 0.30085E-01
   950.00     0.27499E+14 0.27507E+14 0.28668E-01
   1000.0     0.27735E+14 0.27742E+14 0.26790E-01
   1050.0     0.27961E+14 0.27968E+14 0.24723E-01
   1100.0     0.28179E+14 0.28184E+14 0.18691E-01
   1150.0     0.28388E+14 0.28392E+14 0.15186E-01
   1200.0     0.28590E+14 0.28593E+14 0.96604E-02
   1250.0     0.28786E+14 0.28786E+14 0.87421E-03
   1300.0     0.28974E+14 0.28973E+14 0.22839E-02
   1350.0     0.29157E+14 0.29155E+14 0.85171E-02
   1400.0     0.29335E+14 0.29330E+14 0.16269E-01
   1450.0     0.29507E+14 0.29501E+14 0.20794E-01
   1500.0     0.29674E+14 0.29667E+14 0.24331E-01
   1550.0     0.29836E+14 0.29828E+14 0.25836E-01
   1600.0     0.29995E+14 0.29986E+14 0.31054E-01
   1650.0     0.30149E+14 0.30139E+14 0.32437E-01
   1700.0     0.30299E+14 0.30289E+14 0.32569E-01
   1750.0     0.30446E+14 0.30436E+14 0.34049E-01
   1800.0     0.30589E+14 0.30579E+14 0.32953E-01
   1850.0     0.30729E+14 0.30719E+14 0.31987E-01
   1900.0     0.30866E+14 0.30857E+14 0.30620E-01
   1950.0     0.31000E+14 0.30991E+14 0.28372E-01
   2000.0     0.31131E+14 0.31123E+14 0.24807E-01
   2050.0     0.31260E+14 0.31253E+14 0.22730E-01
   2100.0     0.31385E+14 0.31380E+14 0.15375E-01
   2150.0     0.31509E+14 0.31505E+14 0.11974E-01
   2200.0     0.31630E+14 0.31628E+14 0.58360E-02
   2250.0     0.31748E+14 0.31749E+14 0.33076E-02
   2300.0     0.31865E+14 0.31868E+14 0.94255E-02
   2350.0     0.31979E+14 0.31985E+14 0.19064E-01
   2400.0     0.32092E+14 0.32100E+14 0.26194E-01
   2450.0     0.32202E+14 0.32214E+14 0.37280E-01
   2500.0     0.32311E+14 0.32326E+14 0.46299E-01
